"Race recode (White, Black, Other)",Age recode with <1 year olds,Year of death recode,Sex,State,Count
0,0,0,2,5, 
0,0,0,2,6,11
0,0,0,2,7, 
0,0,0,2,8, 
0,0,0,2,9, 
0,0,0,2,10,18
0,0,0,2,11, 
0,0,0,2,12, 
0,0,0,2,13,38
0,0,0,2,14, 
0,0,0,2,15, 
0,0,0,2,16, 
0,0,0,2,17,10
0,0,0,2,18,11
0,0,0,2,19, 
0,0,0,2,20, 
0,0,0,2,21,17
0,0,0,2,22, 
0,0,0,2,23, 
0,0,0,2,24, 
0,0,0,2,25, 
0,0,0,2,26, 
0,0,0,2,27, 
0,0,0,2,28, 
0,0,0,2,29, 
0,0,0,2,30,16
0,0,0,2,31,10
0,0,0,2,32,63
0,0,0,2,33, 
0,0,0,2,34, 
0,0,0,2,35, 
0,0,0,2,36, 
0,0,0,2,37, 
0,0,0,2,38, 
0,0,0,2,39, 
0,0,0,2,40, 
0,0,0,2,41, 
0,0,0,2,42, 
0,0,0,2,43,72
0,0,0,2,44,10
0,0,0,2,45, 
0,0,0,2,46, 
0,0,0,2,47,12
0,0,0,2,48, 
0,0,0,2,49, 
0,0,0,2,50, 
0,0,0,2,51, 
0,0,1,0,0, 
0,0,1,0,1, 
0,0,1,0,2, 
0,0,1,0,3, 
0,0,1,0,4,18
0,0,1,0,5, 
0,0,1,0,6, 
0,0,1,0,7, 
0,0,1,0,8, 
0,0,1,0,9, 
0,0,1,0,10, 
0,0,1,0,11, 
0,0,1,0,12, 
0,0,1,0,13,13
0,0,1,0,14, 
0,0,1,0,15, 
0,0,1,0,16, 
0,0,1,0,17, 
0,0,1,0,18, 
0,0,1,0,19, 
0,0,1,0,20, 
0,0,1,0,21, 
0,0,1,0,22, 
0,0,1,0,23, 
0,0,1,0,24, 
0,0,1,0,25, 
0,0,1,0,26, 
0,0,1,0,27, 
0,0,1,0,28, 
0,0,1,0,29, 
0,0,1,0,30, 
0,0,1,0,31, 
0,0,1,0,32,20
0,0,1,0,33, 
0,0,1,0,34, 
0,0,1,0,35, 
0,0,1,0,36, 
0,0,1,0,37, 
0,0,1,0,38, 
0,0,1,0,39, 
0,0,1,0,40, 
0,0,1,0,41, 
0,0,1,0,42, 
0,0,1,0,43,13
0,0,1,0,44, 
0,0,1,0,45, 
0,0,1,0,46, 
0,0,1,0,47, 
0,0,1,0,48, 
0,0,1,0,49, 
0,0,1,0,50, 
0,0,1,0,51, 
0,0,1,1,0, 
0,0,1,1,1, 
0,0,1,1,2, 
0,0,1,1,3, 
0,0,1,1,4, 
0,0,1,1,5, 
0,0,1,1,6, 
0,0,1,1,7, 
0,0,1,1,8, 
0,0,1,1,9, 
0,0,1,1,10, 
0,0,1,1,11, 
0,0,1,1,12, 
0,0,1,1,13, 
0,0,1,1,14, 
0,0,1,1,15, 
0,0,1,1,16, 
0,0,1,1,17, 
0,0,1,1,18, 
0,0,1,1,19, 
0,0,1,1,20, 
0,0,1,1,21, 
0,0,1,1,22, 
0,0,1,1,23, 
0,0,1,1,24, 
0,0,1,1,25, 
0,0,1,1,26, 
0,0,1,1,27, 
0,0,1,1,28, 
0,0,1,1,29, 
0,0,1,1,30, 
0,0,1,1,31, 
0,0,1,1,32, 
0,0,1,1,33, 
0,0,1,1,34, 
0,0,1,1,35, 
0,0,1,1,36, 
0,0,1,1,37, 
0,0,1,1,38, 
0,0,1,1,39, 
0,0,1,1,40, 
0,0,1,1,41, 
0,0,1,1,42, 
0,0,1,1,43, 
0,0,1,1,44, 
0,0,1,1,45, 
0,0,1,1,46, 
0,0,1,1,47, 
0,0,1,1,48, 
0,0,1,1,49, 
0,0,1,1,50, 
0,0,1,1,51, 
0,0,1,2,0, 
0,0,1,2,1, 
0,0,1,2,2, 
0,0,1,2,3, 
0,0,1,2,4,13
0,0,1,2,5, 
0,0,1,2,6, 
0,0,1,2,7, 
0,0,1,2,8, 
0,0,1,2,9, 
0,0,1,2,10, 
0,0,1,2,11, 
0,0,1,2,12, 
0,0,1,2,13, 
0,0,1,2,14, 
0,0,1,2,15, 
0,0,1,2,16, 
0,0,1,2,17, 
0,0,1,2,18, 
0,0,1,2,19, 
0,0,1,2,20, 
0,0,1,2,21, 
0,0,1,2,22, 
0,0,1,2,23, 
0,0,1,2,24, 
0,0,1,2,25, 
0,0,1,2,26, 
0,0,1,2,27, 
0,0,1,2,28, 
0,0,1,2,29, 
0,0,1,2,30, 
0,0,1,2,31, 
0,0,1,2,32,12
0,0,1,2,33, 
0,0,1,2,34, 
0,0,1,2,35, 
0,0,1,2,36, 
0,0,1,2,37, 
0,0,1,2,38, 
0,0,1,2,39, 
0,0,1,2,40, 
0,0,1,2,41, 
0,0,1,2,42, 
0,0,1,2,43, 
0,0,1,2,44, 
0,0,1,2,45, 
0,0,1,2,46, 
0,0,1,2,47, 
0,0,1,2,48, 
0,0,1,2,49, 
0,0,1,2,50, 
0,0,1,2,51, 
0,0,2,0,0, 
0,0,2,0,1, 
0,0,2,0,2, 
0,0,2,0,3, 
0,0,2,0,4,17
0,0,2,0,5, 
0,0,2,0,6, 
0,0,2,0,7, 
0,0,2,0,8, 
0,0,2,0,9, 
0,0,2,0,10, 
0,0,2,0,11, 
0,0,2,0,12, 
0,0,2,0,13, 
0,0,2,0,14, 
0,0,2,0,15, 
0,0,2,0,16, 
0,0,2,0,17, 
0,0,2,0,18, 
0,0,2,0,19, 
0,0,2,0,20, 
0,0,2,0,21, 
0,0,2,0,22, 
0,0,2,0,23, 
0,0,2,0,24, 
0,0,2,0,25, 
0,0,2,0,26, 
0,0,2,0,27, 
0,0,2,0,28, 
0,0,2,0,29, 
0,0,2,0,30, 
0,0,2,0,31, 
0,0,2,0,32, 
0,0,2,0,33, 
0,0,2,0,34, 
0,0,2,0,35, 
0,0,2,0,36, 
0,0,2,0,37, 
0,0,2,0,38, 
0,0,2,0,39, 
0,0,2,0,40, 
0,0,2,0,41, 
0,0,2,0,42, 
0,0,2,0,43, 
0,0,2,0,44, 
0,0,2,0,45, 
0,0,2,0,46, 
0,0,2,0,47, 
0,0,2,0,48, 
0,0,2,0,49, 
0,0,2,0,50, 
0,0,2,0,51, 
0,0,2,1,0, 
0,0,2,1,1, 
0,0,2,1,2, 
0,0,2,1,3, 
0,0,2,1,4, 
0,0,2,1,5, 
0,0,2,1,6, 
0,0,2,1,7, 
0,0,2,1,8, 
0,0,2,1,9, 
0,0,2,1,10, 
0,0,2,1,11, 
0,0,2,1,12, 
0,0,2,1,13, 
0,0,2,1,14, 
0,0,2,1,15, 
0,0,2,1,16, 
0,0,2,1,17, 
0,0,2,1,18, 
0,0,2,1,19, 
0,0,2,1,20, 
0,0,2,1,21, 
0,0,2,1,22, 
0,0,2,1,23, 
0,0,2,1,24, 
0,0,2,1,25, 
0,0,2,1,26, 
0,0,2,1,27, 
0,0,2,1,28, 
0,0,2,1,29, 
0,0,2,1,30, 
0,0,2,1,31, 
0,0,2,1,32, 
0,0,2,1,33, 
0,0,2,1,34, 
0,0,2,1,35, 
0,0,2,1,36, 
0,0,2,1,37, 
0,0,2,1,38, 
0,0,2,1,39, 
0,0,2,1,40, 
0,0,2,1,41, 
0,0,2,1,42, 
0,0,2,1,43, 
0,0,2,1,44, 
0,0,2,1,45, 
0,0,2,1,46, 
0,0,2,1,47, 
0,0,2,1,48, 
0,0,2,1,49, 
0,0,2,1,50, 
0,0,2,1,51, 
0,0,2,2,0, 
0,0,2,2,1, 
0,0,2,2,2, 
0,0,2,2,3, 
0,0,2,2,4,10
0,0,2,2,5, 
0,0,2,2,6, 
0,0,2,2,7, 
0,0,2,2,8, 
0,0,2,2,9, 
0,0,2,2,10, 
0,0,2,2,11, 
0,0,2,2,12, 
0,0,2,2,13, 
0,0,2,2,14, 
0,0,2,2,15, 
0,0,2,2,16, 
0,0,2,2,17, 
0,0,2,2,18, 
0,0,2,2,19, 
0,0,2,2,20, 
0,0,2,2,21, 
0,0,2,2,22, 
0,0,2,2,23, 
0,0,2,2,24, 
0,0,2,2,25, 
0,0,2,2,26, 
0,0,2,2,27, 
0,0,2,2,28, 
0,0,2,2,29, 
0,0,2,2,30, 
0,0,2,2,31, 
0,0,2,2,32, 
0,0,2,2,33, 
0,0,2,2,34, 
0,0,2,2,35, 
0,0,2,2,36, 
0,0,2,2,37, 
0,0,2,2,38, 
0,0,2,2,39, 
0,0,2,2,40, 
0,0,2,2,41, 
0,0,2,2,42, 
0,0,2,2,43, 
0,0,2,2,44, 
0,0,2,2,45, 
0,0,2,2,46, 
0,0,2,2,47, 
0,0,2,2,48, 
0,0,2,2,49, 
0,0,2,2,50, 
0,0,2,2,51, 
0,0,3,0,0, 
0,0,3,0,1, 
0,0,3,0,2, 
0,0,3,0,3, 
0,0,3,0,4,12
0,0,3,0,5, 
0,0,3,0,6, 
0,0,3,0,7, 
0,0,3,0,8, 
0,0,3,0,9, 
0,0,3,0,10, 
0,0,3,0,11, 
0,0,3,0,12, 
0,0,3,0,13, 
0,0,3,0,14, 
0,0,3,0,15, 
0,0,3,0,16, 
0,0,3,0,17, 
0,0,3,0,18, 
0,0,3,0,19, 
0,0,3,0,20, 
0,0,3,0,21, 
0,0,3,0,22, 
0,0,3,0,23, 
0,0,3,0,24, 
0,0,3,0,25, 
0,0,3,0,26, 
0,0,3,0,27, 
0,0,3,0,28, 
0,0,3,0,29, 
0,0,3,0,30, 
0,0,3,0,31, 
0,0,3,0,32, 
0,0,3,0,33, 
0,0,3,0,34, 
0,0,3,0,35, 
0,0,3,0,36, 
0,0,3,0,37, 
0,0,3,0,38, 
0,0,3,0,39, 
0,0,3,0,40, 
0,0,3,0,41, 
0,0,3,0,42, 
0,0,3,0,43, 
0,0,3,0,44, 
0,0,3,0,45, 
0,0,3,0,46, 
0,0,3,0,47, 
0,0,3,0,48, 
0,0,3,0,49, 
0,0,3,0,50, 
0,0,3,0,51, 
0,0,3,1,0, 
0,0,3,1,1, 
0,0,3,1,2, 
0,0,3,1,3, 
0,0,3,1,4, 
0,0,3,1,5, 
0,0,3,1,6, 
0,0,3,1,7, 
0,0,3,1,8, 
0,0,3,1,9, 
0,0,3,1,10, 
0,0,3,1,11, 
0,0,3,1,12, 
0,0,3,1,13, 
0,0,3,1,14, 
0,0,3,1,15, 
0,0,3,1,16, 
0,0,3,1,17, 
0,0,3,1,18, 
0,0,3,1,19, 
0,0,3,1,20, 
0,0,3,1,21, 
0,0,3,1,22, 
0,0,3,1,23, 
0,0,3,1,24, 
0,0,3,1,25, 
0,0,3,1,26, 
0,0,3,1,27, 
0,0,3,1,28, 
0,0,3,1,29, 
0,0,3,1,30, 
0,0,3,1,31, 
0,0,3,1,32, 
0,0,3,1,33, 
0,0,3,1,34, 
0,0,3,1,35, 
0,0,3,1,36, 
0,0,3,1,37, 
0,0,3,1,38, 
0,0,3,1,39, 
0,0,3,1,40, 
0,0,3,1,41, 
0,0,3,1,42, 
0,0,3,1,43, 
0,0,3,1,44, 
0,0,3,1,45, 
0,0,3,1,46, 
0,0,3,1,47, 
0,0,3,1,48, 
0,0,3,1,49, 
0,0,3,1,50, 
0,0,3,1,51, 
0,0,3,2,0, 
0,0,3,2,1, 
0,0,3,2,2, 
0,0,3,2,3, 
0,0,3,2,4, 
0,0,3,2,5, 
0,0,3,2,6, 
0,0,3,2,7, 
0,0,3,2,8, 
0,0,3,2,9, 
0,0,3,2,10, 
0,0,3,2,11, 
0,0,3,2,12, 
0,0,3,2,13, 
0,0,3,2,14, 
0,0,3,2,15, 
0,0,3,2,16, 
0,0,3,2,17, 
0,0,3,2,18, 
0,0,3,2,19, 
0,0,3,2,20, 
0,0,3,2,21, 
0,0,3,2,22, 
0,0,3,2,23, 
0,0,3,2,24, 
0,0,3,2,25, 
0,0,3,2,26, 
0,0,3,2,27, 
0,0,3,2,28, 
0,0,3,2,29, 
0,0,3,2,30, 
0,0,3,2,31, 
0,0,3,2,32, 
0,0,3,2,33, 
0,0,3,2,34, 
0,0,3,2,35, 
0,0,3,2,36, 
0,0,3,2,37, 
0,0,3,2,38, 
0,0,3,2,39, 
0,0,3,2,40, 
0,0,3,2,41, 
0,0,3,2,42, 
0,0,3,2,43, 
0,0,3,2,44, 
0,0,3,2,45, 
0,0,3,2,46, 
0,0,3,2,47, 
0,0,3,2,48, 
0,0,3,2,49, 
0,0,3,2,50, 
0,0,3,2,51, 
0,0,4,0,0, 
0,0,4,0,1, 
0,0,4,0,2, 
0,0,4,0,3, 
0,0,4,0,4, 
0,0,4,0,5, 
0,0,4,0,6, 
0,0,4,0,7, 
0,0,4,0,8, 
0,0,4,0,9, 
0,0,4,0,10, 
0,0,4,0,11, 
0,0,4,0,12, 
0,0,4,0,13, 
0,0,4,0,14, 
0,0,4,0,15, 
0,0,4,0,16, 
0,0,4,0,17, 
0,0,4,0,18, 
0,0,4,0,19, 
0,0,4,0,20, 
0,0,4,0,21, 
0,0,4,0,22, 
0,0,4,0,23, 
0,0,4,0,24, 
0,0,4,0,25, 
0,0,4,0,26, 
0,0,4,0,27, 
0,0,4,0,28, 
0,0,4,0,29, 
0,0,4,0,30, 
0,0,4,0,31, 
0,0,4,0,32,12
0,0,4,0,33, 
0,0,4,0,34, 
0,0,4,0,35, 
0,0,4,0,36, 
0,0,4,0,37, 
0,0,4,0,38, 
0,0,4,0,39, 
0,0,4,0,40, 
0,0,4,0,41, 
0,0,4,0,42, 
0,0,4,0,43, 
0,0,4,0,44, 
0,0,4,0,45, 
0,0,4,0,46, 
0,0,4,0,47, 
0,0,4,0,48, 
0,0,4,0,49, 
0,0,4,0,50, 
0,0,4,0,51, 
0,0,4,1,0, 
0,0,4,1,1, 
0,0,4,1,2, 
0,0,4,1,3, 
0,0,4,1,4, 
0,0,4,1,5, 
0,0,4,1,6, 
0,0,4,1,7, 
0,0,4,1,8, 
0,0,4,1,9, 
0,0,4,1,10, 
0,0,4,1,11, 
0,0,4,1,12, 
0,0,4,1,13, 
0,0,4,1,14, 
0,0,4,1,15, 
0,0,4,1,16, 
0,0,4,1,17, 
0,0,4,1,18, 
0,0,4,1,19, 
0,0,4,1,20, 
0,0,4,1,21, 
0,0,4,1,22, 
0,0,4,1,23, 
0,0,4,1,24, 
0,0,4,1,25, 
0,0,4,1,26, 
0,0,4,1,27, 
0,0,4,1,28, 
0,0,4,1,29, 
0,0,4,1,30, 
0,0,4,1,31, 
0,0,4,1,32, 
0,0,4,1,33, 
0,0,4,1,34, 
0,0,4,1,35, 
0,0,4,1,36, 
0,0,4,1,37, 
0,0,4,1,38, 
0,0,4,1,39, 
0,0,4,1,40, 
0,0,4,1,41, 
0,0,4,1,42, 
0,0,4,1,43, 
0,0,4,1,44, 
0,0,4,1,45, 
0,0,4,1,46, 
0,0,4,1,47, 
0,0,4,1,48, 
0,0,4,1,49, 
0,0,4,1,50, 
0,0,4,1,51, 
0,0,4,2,0, 
0,0,4,2,1, 
0,0,4,2,2, 
0,0,4,2,3, 
0,0,4,2,4, 
0,0,4,2,5, 
0,0,4,2,6, 
0,0,4,2,7, 
0,0,4,2,8, 
0,0,4,2,9, 
0,0,4,2,10, 
0,0,4,2,11, 
0,0,4,2,12, 
0,0,4,2,13, 
0,0,4,2,14, 
0,0,4,2,15, 
0,0,4,2,16, 
0,0,4,2,17, 
0,0,4,2,18, 
0,0,4,2,19, 
0,0,4,2,20, 
0,0,4,2,21, 
0,0,4,2,22, 
0,0,4,2,23, 
0,0,4,2,24, 
0,0,4,2,25, 
0,0,4,2,26, 
0,0,4,2,27, 
0,0,4,2,28, 
0,0,4,2,29, 
0,0,4,2,30, 
0,0,4,2,31, 
0,0,4,2,32, 
0,0,4,2,33, 
0,0,4,2,34, 
0,0,4,2,35, 
0,0,4,2,36, 
0,0,4,2,37, 
0,0,4,2,38, 
0,0,4,2,39, 
0,0,4,2,40, 
0,0,4,2,41, 
0,0,4,2,42, 
0,0,4,2,43, 
0,0,4,2,44, 
0,0,4,2,45, 
0,0,4,2,46, 
0,0,4,2,47, 
0,0,4,2,48, 
0,0,4,2,49, 
0,0,4,2,50, 
0,0,4,2,51, 
0,0,5,0,0, 
0,0,5,0,1, 
0,0,5,0,2, 
0,0,5,0,3, 
0,0,5,0,4, 
0,0,5,0,5, 
0,0,5,0,6, 
0,0,5,0,7, 
0,0,5,0,8, 
0,0,5,0,9, 
0,0,5,0,10, 
0,0,5,0,11, 
0,0,5,0,12, 
0,0,5,0,13, 
0,0,5,0,14, 
0,0,5,0,15, 
0,0,5,0,16, 
0,0,5,0,17, 
0,0,5,0,18, 
0,0,5,0,19, 
0,0,5,0,20, 
0,0,5,0,21, 
0,0,5,0,22, 
0,0,5,0,23, 
0,0,5,0,24, 
0,0,5,0,25, 
0,0,5,0,26, 
0,0,5,0,27, 
0,0,5,0,28, 
0,0,5,0,29, 
0,0,5,0,30, 
0,0,5,0,31, 
0,0,5,0,32, 
0,0,5,0,33, 
0,0,5,0,34, 
0,0,5,0,35, 
0,0,5,0,36, 
0,0,5,0,37, 
0,0,5,0,38, 
0,0,5,0,39, 
0,0,5,0,40, 
0,0,5,0,41, 
0,0,5,0,42, 
0,0,5,0,43, 
0,0,5,0,44, 
0,0,5,0,45, 
0,0,5,0,46, 
0,0,5,0,47, 
0,0,5,0,48, 
0,0,5,0,49, 
0,0,5,0,50, 
0,0,5,0,51, 
0,0,5,1,0, 
0,0,5,1,1, 
0,0,5,1,2, 
0,0,5,1,3, 
0,0,5,1,4, 
0,0,5,1,5, 
0,0,5,1,6, 
0,0,5,1,7, 
0,0,5,1,8, 
0,0,5,1,9, 
0,0,5,1,10, 
0,0,5,1,11, 
0,0,5,1,12, 
0,0,5,1,13, 
0,0,5,1,14, 
0,0,5,1,15, 
0,0,5,1,16, 
0,0,5,1,17, 
0,0,5,1,18, 
0,0,5,1,19, 
0,0,5,1,20, 
0,0,5,1,21, 
0,0,5,1,22, 
0,0,5,1,23, 
0,0,5,1,24, 
0,0,5,1,25, 
0,0,5,1,26, 
0,0,5,1,27, 
0,0,5,1,28, 
0,0,5,1,29, 
0,0,5,1,30, 
0,0,5,1,31, 
0,0,5,1,32, 
0,0,5,1,33, 
0,0,5,1,34, 
0,0,5,1,35, 
0,0,5,1,36, 
0,0,5,1,37, 
0,0,5,1,38, 
0,0,5,1,39, 
0,0,5,1,40, 
0,0,5,1,41, 
0,0,5,1,42, 
0,0,5,1,43, 
0,0,5,1,44, 
0,0,5,1,45, 
0,0,5,1,46, 
0,0,5,1,47, 
0,0,5,1,48, 
0,0,5,1,49, 
0,0,5,1,50, 
0,0,5,1,51, 
0,0,5,2,0, 
0,0,5,2,1, 
0,0,5,2,2, 
0,0,5,2,3, 
0,0,5,2,4, 
0,0,5,2,5, 
0,0,5,2,6, 
0,0,5,2,7, 
0,0,5,2,8, 
0,0,5,2,9, 
0,0,5,2,10, 
0,0,5,2,11, 
0,0,5,2,12, 
0,0,5,2,13, 
0,0,5,2,14, 
0,0,5,2,15, 
0,0,5,2,16, 
0,0,5,2,17, 
0,0,5,2,18, 
0,0,5,2,19, 
0,0,5,2,20, 
0,0,5,2,21, 
0,0,5,2,22, 
0,0,5,2,23, 
0,0,5,2,24, 
0,0,5,2,25, 
0,0,5,2,26, 
0,0,5,2,27, 
0,0,5,2,28, 
0,0,5,2,29, 
0,0,5,2,30, 
0,0,5,2,31, 
0,0,5,2,32, 
0,0,5,2,33, 
0,0,5,2,34, 
0,0,5,2,35, 
0,0,5,2,36, 
0,0,5,2,37, 
0,0,5,2,38, 
0,0,5,2,39, 
0,0,5,2,40, 
0,0,5,2,41, 
0,0,5,2,42, 
0,0,5,2,43, 
0,0,5,2,44, 
0,0,5,2,45, 
0,0,5,2,46, 
0,0,5,2,47, 
0,0,5,2,48, 
0,0,5,2,49, 
0,0,5,2,50, 
0,0,5,2,51, 
0,0,6,0,0, 
0,0,6,0,1, 
0,0,6,0,2, 
0,0,6,0,3, 
0,0,6,0,4, 
0,0,6,0,5, 
0,0,6,0,6, 
0,0,6,0,7, 
0,0,6,0,8, 
0,0,6,0,9, 
0,0,6,0,10, 
0,0,6,0,11, 
0,0,6,0,12, 
0,0,6,0,13, 
0,0,6,0,14, 
0,0,6,0,15, 
0,0,6,0,16, 
0,0,6,0,17, 
0,0,6,0,18, 
0,0,6,0,19, 
0,0,6,0,20, 
0,0,6,0,21, 
0,0,6,0,22, 
0,0,6,0,23, 
0,0,6,0,24, 
0,0,6,0,25, 
0,0,6,0,26, 
0,0,6,0,27, 
0,0,6,0,28, 
0,0,6,0,29, 
0,0,6,0,30, 
0,0,6,0,31, 
0,0,6,0,32, 
0,0,6,0,33, 
0,0,6,0,34, 
0,0,6,0,35, 
0,0,6,0,36, 
0,0,6,0,37, 
0,0,6,0,38, 
0,0,6,0,39, 
0,0,6,0,40, 
0,0,6,0,41, 
0,0,6,0,42, 
0,0,6,0,43, 
0,0,6,0,44, 
0,0,6,0,45, 
0,0,6,0,46, 
0,0,6,0,47, 
0,0,6,0,48, 
0,0,6,0,49, 
0,0,6,0,50, 
0,0,6,0,51, 
0,0,6,1,0, 
0,0,6,1,1, 
0,0,6,1,2, 
0,0,6,1,3, 
0,0,6,1,4, 
0,0,6,1,5, 
0,0,6,1,6, 
0,0,6,1,7, 
0,0,6,1,8, 
0,0,6,1,9, 
0,0,6,1,10, 
0,0,6,1,11, 
0,0,6,1,12, 
0,0,6,1,13, 
0,0,6,1,14, 
0,0,6,1,15, 
0,0,6,1,16, 
0,0,6,1,17, 
0,0,6,1,18, 
0,0,6,1,19, 
0,0,6,1,20, 
0,0,6,1,21, 
0,0,6,1,22, 
0,0,6,1,23, 
0,0,6,1,24, 
0,0,6,1,25, 
0,0,6,1,26, 
0,0,6,1,27, 
0,0,6,1,28, 
0,0,6,1,29, 
0,0,6,1,30, 
0,0,6,1,31, 
0,0,6,1,32, 
0,0,6,1,33, 
0,0,6,1,34, 
0,0,6,1,35, 
0,0,6,1,36, 
0,0,6,1,37, 
0,0,6,1,38, 
0,0,6,1,39, 
0,0,6,1,40, 
0,0,6,1,41, 
0,0,6,1,42, 
0,0,6,1,43, 
0,0,6,1,44, 
0,0,6,1,45, 
0,0,6,1,46, 
0,0,6,1,47, 
0,0,6,1,48, 
0,0,6,1,49, 
0,0,6,1,50, 
0,0,6,1,51, 
0,0,6,2,0, 
0,0,6,2,1, 
0,0,6,2,2, 
0,0,6,2,3, 
0,0,6,2,4, 
0,0,6,2,5, 
0,0,6,2,6, 
0,0,6,2,7, 
0,0,6,2,8, 
0,0,6,2,9, 
0,0,6,2,10, 
0,0,6,2,11, 
0,0,6,2,12, 
0,0,6,2,13, 
0,0,6,2,14, 
0,0,6,2,15, 
0,0,6,2,16, 
0,0,6,2,17, 
0,0,6,2,18, 
0,0,6,2,19, 
0,0,6,2,20, 
0,0,6,2,21, 
0,0,6,2,22, 
0,0,6,2,23, 
0,0,6,2,24, 
0,0,6,2,25, 
0,0,6,2,26, 
0,0,6,2,27, 
0,0,6,2,28, 
0,0,6,2,29, 
0,0,6,2,30, 
0,0,6,2,31, 
0,0,6,2,32, 
0,0,6,2,33, 
0,0,6,2,34, 
0,0,6,2,35, 
0,0,6,2,36, 
0,0,6,2,37, 
0,0,6,2,38, 
0,0,6,2,39, 
0,0,6,2,40, 
0,0,6,2,41, 
0,0,6,2,42, 
0,0,6,2,43, 
0,0,6,2,44, 
0,0,6,2,45, 
0,0,6,2,46, 
0,0,6,2,47, 
0,0,6,2,48, 
0,0,6,2,49, 
0,0,6,2,50, 
0,0,6,2,51, 
0,0,7,0,0, 
0,0,7,0,1, 
0,0,7,0,2, 
0,0,7,0,3, 
0,0,7,0,4, 
0,0,7,0,5, 
0,0,7,0,6, 
0,0,7,0,7, 
0,0,7,0,8, 
0,0,7,0,9, 
0,0,7,0,10, 
0,0,7,0,11, 
0,0,7,0,12, 
0,0,7,0,13, 
0,0,7,0,14, 
0,0,7,0,15, 
0,0,7,0,16, 
0,0,7,0,17, 
0,0,7,0,18, 
0,0,7,0,19, 
0,0,7,0,20, 
0,0,7,0,21, 
0,0,7,0,22, 
0,0,7,0,23, 
0,0,7,0,24, 
0,0,7,0,25, 
0,0,7,0,26, 
0,0,7,0,27, 
0,0,7,0,28, 
0,0,7,0,29, 
0,0,7,0,30, 
0,0,7,0,31, 
0,0,7,0,32, 
0,0,7,0,33, 
0,0,7,0,34, 
0,0,7,0,35, 
0,0,7,0,36, 
0,0,7,0,37, 
0,0,7,0,38, 
0,0,7,0,39, 
0,0,7,0,40, 
0,0,7,0,41, 
0,0,7,0,42, 
0,0,7,0,43, 
0,0,7,0,44, 
0,0,7,0,45, 
0,0,7,0,46, 
0,0,7,0,47, 
0,0,7,0,48, 
0,0,7,0,49, 
0,0,7,0,50, 
0,0,7,0,51, 
0,0,7,1,0, 
0,0,7,1,1, 
0,0,7,1,2, 
0,0,7,1,3, 
0,0,7,1,4, 
0,0,7,1,5, 
0,0,7,1,6, 
0,0,7,1,7, 
0,0,7,1,8, 
0,0,7,1,9, 
0,0,7,1,10, 
0,0,7,1,11, 
0,0,7,1,12, 
0,0,7,1,13, 
0,0,7,1,14, 
